name,calculate changes:,calculate percentage
1( Chain connection): Operational status,5,0.015372317530590911
10( access): Operational status,13,0.03996802557953637
2( Chain connection): Operational status,7,0.021521244542827278
3( access): Operational status,13,0.03996802557953637
4( access): Operational status,17,0.0522658796040091
5( access): Operational status,12,0.036893562073418186
6( access): Operational status,12,0.036893562073418186
7( access): Operational status,13,0.03996802557953637
8( access): Operational status,65,0.19984012789768185
9( access): Operational status,15,0.04611695259177274
